split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,json_path,video_path,skipped_existing,elapsed_s
train,2024-02-14_19-10-09,accepted_loose,3.815819263458252,14.769601202011094,0.4666666666666667,43,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-14_19-10-09.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-10-09.mp4,False,2.84
train,2024-02-14_19-44-26,failed,7.2152814865112305,19.030284500122068,0.25,40,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-14_19-44-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-44-26.mp4,False,2.79
train,2024-02-14_20-37-55,failed,9.402178764343262,47.61807479858395,0.2727272727272727,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-14_20-37-55.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-37-55.mp4,False,2.77
train,2024-02-14_20-58-43,accepted_loose,2.1294002532958984,5.9741202831268305,0.6875,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-14_20-58-43.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-58-43.mp4,False,2.63
train,2024-02-14_21-30-04,failed,4.604534149169922,13.586958122253417,0.40625,47,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-14_21-30-04.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_21-30-04.mp4,False,2.75
train,2024-02-15_15-13-10,accepted_loose,2.0011556148529053,10.249968910217284,0.6551724137931034,42,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_15-13-10.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_15-13-10.mp4,False,2.69
train,2024-02-15_20-28-13,accepted_loose,3.986079692840576,14.872684001922607,0.3870967741935484,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_20-28-13.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-28-13.mp4,False,2.78
train,2024-02-15_20-54-38,failed,5.413247108459473,13.852557277679438,0.1,48,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_20-54-38.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-54-38.mp4,False,2.64
train,2024-02-15_21-01-11,failed,8.146987915039062,39.965951347351044,0.11764705882352941,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_21-01-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-01-11.mp4,False,2.71
train,2024-02-15_21-18-14,accepted_loose,2.320539712905884,13.26457691192627,0.5161290322580645,44,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_21-18-14.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-18-14.mp4,False,2.62
train,2024-02-15_21-40-43,accepted_loose,2.6006920337677,6.179472923278808,0.6333333333333333,44,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_21-40-43.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-40-43.mp4,False,2.84
train,2024-02-15_21-57-38,failed,6.411937236785889,14.349035692214962,0.3,47,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_21-57-38.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-57-38.mp4,False,2.66
train,2024-02-15_22-02-16,failed,5.398825645446777,10.369165229797362,0.4074074074074074,48,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_22-02-16.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-02-16.mp4,False,2.65
train,2024-02-15_22-18-32,accepted_loose,2.8475215435028076,14.497106027603136,0.5333333333333333,44,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_22-18-32.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-18-32.mp4,False,2.55
train,2024-02-15_22-57-11,failed,5.888837814331055,14.348429203033447,0.3225806451612903,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_22-57-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-57-11.mp4,False,2.75
train,2024-02-15_23-14-13,failed,7.577571868896484,25.016498756408687,0.15625,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-15_23-14-13.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_23-14-13.mp4,False,2.67
train,2024-02-16_14-41-07,failed,7.423921585083008,36.10971317291253,0.22857142857142856,48,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-16_14-41-07.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_14-41-07.mp4,False,2.72
train,2024-02-16_23-19-03,failed,6.2193498611450195,19.96634407043457,0.2727272727272727,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-16_23-19-03.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_23-19-03.mp4,False,2.58
train,2024-02-17_00-12-50,failed,4.070735454559326,8.946910381317135,0.4,43,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-17_00-12-50.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-12-50.mp4,False,2.52
train,2024-02-17_00-29-10,failed,5.0855488777160645,10.384800577163697,0.39285714285714285,49,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-17_00-29-10.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-29-10.mp4,False,2.53
train,2024-02-17_21-37-57,accepted_loose,3.5782454013824463,13.56494426727295,0.45161290322580644,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-17_21-37-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_21-37-57.mp4,False,2.42
train,2024-02-17_22-12-41,accepted_loose,2.3406314849853516,8.542362308502197,0.6071428571428571,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-17_22-12-41.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_22-12-41.mp4,False,2.46
train,2024-02-17_22-33-45,accepted_loose,3.971691131591797,10.514870738983154,0.5,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-17_22-33-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_22-33-45.mp4,False,2.4
train,2024-02-20_18-08-35,accepted_loose,2.2303085327148438,10.363443183898923,0.5862068965517241,40,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-20_18-08-35.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-20_18-08-35.mp4,False,2.28
train,2024-02-20_18-23-30,accepted_loose,2.26625919342041,10.571308040618895,0.5666666666666667,42,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-20_18-23-30.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-20_18-23-30.mp4,False,2.39
train,2024-02-22_11-58-09,accepted_loose,2.1511828899383545,10.98872518539428,0.6875,44,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-22_11-58-09.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-22_11-58-09.mp4,False,2.47
train,2024-02-22_14-11-52,failed,4.49159049987793,10.927790403366085,0.39285714285714285,42,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-02-22_14-11-52.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-22_14-11-52.mp4,False,2.44
train,2024-03-04_03-46-36,failed,5.6428985595703125,13.393858575820923,0.36666666666666664,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_03-46-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_03-46-36.mp4,False,2.24
train,2024-03-04_03-50-34,failed,5.214712142944336,16.471733570098877,0.3055555555555556,50,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_03-50-34.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_03-50-34.mp4,False,2.36
train,2024-03-04_04-14-36,accepted_loose,2.2030065059661865,7.301405978202819,0.65625,48,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_04-14-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-14-36.mp4,False,2.33
train,2024-03-04_04-32-11,accepted_loose,1.712169885635376,11.918540382385254,0.56,50,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_04-32-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-32-11.mp4,False,2.5
train,2024-03-04_04-36-26,accepted_loose,3.599330425262451,8.393810987472534,0.4230769230769231,50,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_04-36-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_04-36-26.mp4,False,2.42
train,2024-03-04_22-38-33,accepted_loose,1.971275806427002,16.235727500915523,0.6111111111111112,29,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-04_22-38-33.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-04_22-38-33.mp4,False,2.39
train,2024-03-11_22-23-29,accepted_loose,1.9238572120666504,7.462902069091797,0.7692307692307693,36,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-11_22-23-29.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-11_22-23-29.mp4,False,2.39
train,2024-03-12_15-43-01,failed,7.3481550216674805,12.033029079437256,0.3076923076923077,38,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-12_15-43-01.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-12_15-43-01.mp4,False,2.24
train,2024-03-13_11-32-42,accepted_loose,2.801088571548462,11.587896347045898,0.5714285714285714,35,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-13_11-32-42.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-13_11-32-42.mp4,False,2.26
train,2024-03-15_22-54-26,accepted_loose,2.226745843887329,9.256523847579954,0.7777777777777778,36,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-15_22-54-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-15_22-54-26.mp4,False,2.33
train,2024-03-17_18-54-44,accepted_loose,3.485342264175415,13.19591178894043,0.4,32,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-17_18-54-44.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-17_18-54-44.mp4,False,2.37
train,2024-03-18_04-15-06,accepted_loose,1.4724886417388916,8.122769069671627,0.7727272727272727,31,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-18_04-15-06.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-18_04-15-06.mp4,False,2.33
train,2024-03-26_16-33-49,accepted_loose,1.6617376804351807,16.287797307968134,0.7272727272727273,34,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-26_16-33-49.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-26_16-33-49.mp4,False,2.36
train,2024-03-27_11-49-04,accepted_loose,1.6429251432418823,15.076474857330307,0.7083333333333334,33,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-03-27_11-49-04.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-27_11-49-04.mp4,False,2.18
train,2024-04-08_22-49-18,accepted_loose,3.2140953540802,10.21078701019287,0.5,29,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-08_22-49-18.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_22-49-18.mp4,False,2.44
train,2024-04-08_23-10-23,failed,6.477993965148926,12.177908706665038,0.3181818181818182,30,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-08_23-10-23.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-10-23.mp4,False,2.59
train,2024-04-08_23-26-19,failed,6.28355073928833,15.08218088150023,0.3157894736842105,31,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-08_23-26-19.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-26-19.mp4,False,2.57
train,2024-04-08_23-42-45,accepted_loose,1.8979260921478271,9.276907777786255,0.7777777777777778,28,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-08_23-42-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-42-45.mp4,False,2.65
train,2024-04-08_23-50-57,failed,4.60988187789917,14.40510172843933,0.36363636363636365,31,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-08_23-50-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-08_23-50-57.mp4,False,2.51
train,2024-04-09_03-42-36,accepted_loose,2.0122737884521484,17.784156799316406,0.7619047619047619,30,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-09_03-42-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-09_03-42-36.mp4,False,2.66
train,2024-04-09_04-09-27,accepted_loose,1.6604441404342651,11.835881233215332,0.5625,29,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-04-09_04-09-27.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-04-09_04-09-27.mp4,False,2.67
train,2024-09-02_13-19-32,failed,5.599782466888428,13.811287879943848,0.2777777777777778,51,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-09-02_13-19-32.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_13-19-32.mp4,False,1.79
train,2024-09-02_18-25-31,failed,6.336852073669434,15.872375535964963,0.17647058823529413,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-09-02_18-25-31.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_18-25-31.mp4,False,1.34
train,2024-09-02_18-29-40,failed,7.403983116149902,14.697772979736328,0.25,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-09-02_18-29-40.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_18-29-40.mp4,False,2.16
train,2024-09-02_20-50-18,failed,5.365009307861328,14.042397546768187,0.38235294117647056,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-09-02_20-50-18.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_20-50-18.mp4,False,1.5
train,2024-09-02_23-49-01,accepted_loose,2.2532148361206055,4.452088069915771,0.8181818181818182,48,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/train/2024-09-02_23-49-01.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_23-49-01.mp4,False,2.5
valid,2024-02-15_20-07-54,failed,6.460808277130127,26.753882980346656,0.3333333333333333,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-02-15_20-07-54.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-07-54.mp4,False,2.76
valid,2024-02-15_20-38-23,accepted_loose,3.8737916946411133,10.18695678710937,0.39285714285714285,41,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-02-15_20-38-23.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-38-23.mp4,False,2.65
valid,2024-02-15_21-33-36,failed,8.795896530151367,18.84403200149536,0.3125,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-02-15_21-33-36.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_21-33-36.mp4,False,2.65
valid,2024-03-13_11-54-57,accepted_loose,2.490432024002075,7.544874787330627,0.6875,34,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-03-13_11-54-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-03-13_11-54-57.mp4,False,2.37
valid,2024-09-02_12-45-12,failed,7.273804664611816,17.13430881500244,0.16666666666666666,49,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-09-02_12-45-12.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_12-45-12.mp4,False,2.18
valid,2024-09-02_15-05-42,failed,5.547517776489258,13.791494131088257,0.3611111111111111,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-09-02_15-05-42.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_15-05-42.mp4,False,2.7
valid,2024-09-02_15-26-39,accepted_loose,1.9167883396148682,5.149302244186401,0.75,50,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-09-02_15-26-39.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_15-26-39.mp4,False,1.86
valid,2024-09-02_19-40-55,failed,8.036245346069336,20.07887363433838,0.2222222222222222,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-09-02_19-40-55.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_19-40-55.mp4,False,2.26
valid,2024-09-02_23-22-31,failed,5.978531837463379,16.198810005187987,0.2571428571428571,52,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/valid/2024-09-02_23-22-31.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_23-22-31.mp4,False,2.25
test,2024-02-14_19-55-17,accepted_loose,1.9605599641799927,10.835043716430658,0.6896551724137931,43,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-02-14_19-55-17.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_19-55-17.mp4,False,2.66
test,2024-02-14_20-10-08,accepted_loose,3.735795021057129,16.71457757949829,0.40625,47,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-02-14_20-10-08.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-14_20-10-08.mp4,False,2.76
test,2024-02-15_20-17-26,accepted_loose,2.011549711227417,16.15348463058471,0.75,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-02-15_20-17-26.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-17-26.mp4,False,2.69
test,2024-02-15_20-47-59,failed,6.322452545166016,11.903142738342284,0.3103448275862069,44,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-02-15_20-47-59.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_20-47-59.mp4,False,2.67
test,2024-02-17_21-44-37,accepted_loose,3.254777193069458,9.29823637008667,0.46153846153846156,46,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-02-17_21-44-37.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_21-44-37.mp4,False,2.37
test,2024-09-02_14-10-41,failed,7.06578254699707,22.076789379119873,0.19444444444444445,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-09-02_14-10-41.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_14-10-41.mp4,False,1.77
test,2024-09-02_21-04-45,accepted_loose,3.1322662830352783,10.851928138732909,0.4482758620689655,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-09-02_21-04-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-02_21-04-45.mp4,False,2.32
test,2024-09-03_00-07-46,accepted_loose,2.4972567558288574,4.7464282512664795,0.6129032258064516,45,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-09-03_00-07-46.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-03_00-07-46.mp4,False,2.41
test,2024-09-03_00-44-45,failed,6.006719589233398,14.817448520660395,0.3142857142857143,53,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_26-04-2026/key_geometry/test/2024-09-03_00-44-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-09-03_00-44-45.mp4,False,2.39
